feedback_id,order_id,user_id,rating,comments
FB92,Ord92,U694,1,There were no updates provided about the delivery status.
FB93,Ord93,U872,4,Updates about delivery status were timely and accurate.
FB94,Ord94,U884,4,"Medicines were delivered as ordered, and the packaging was secure."
FB95,Ord95,U368,4,The website is easy to use and navigate.
FB96,Ord96,U286,4,Medicines arrived in excellent condition.
FB97,Ord97,U674,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB98,Ord98,U637,3,"Ordering process was straightforward, but some items were out of stock."
FB99,Ord99,U370,3,"The delivery was on time, but packaging could be better."
FB100,Ord100,U405,1,The delivery person was rude and unprofessional.
FB101,Ord101,U449,4,"Delivery was on time, and the medicines were well-packaged."
FB102,Ord102,U744,2,Overall experience was below average.
FB103,Ord103,U811,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB104,Ord104,U227,1,"The delivery was delayed, and no explanation was given."
FB105,Ord105,U572,1,Medicines were damaged during delivery.
FB106,Ord106,U374,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB107,Ord107,U294,2,"My delivery was incomplete, missing some items."
FB108,Ord108,U479,3,"Overall experience was average, with room for improvement."
FB109,Ord109,U995,2,"Delivery was late, but at least the medicines were intact."
FB110,Ord110,U627,5,Medicines arrived in perfect condition and on time.
FB111,Ord111,U920,4,The website is easy to use and navigate.
FB112,Ord112,U234,3,"Delivery was late, but customer service resolved the issue."
FB113,Ord113,U238,4,Medicines arrived in excellent condition.
FB114,Ord114,U263,5,Medicines arrived in perfect condition and on time.
FB115,Ord115,U665,2,"My delivery was incomplete, missing some items."
FB116,Ord116,U933,1,"The delivery was delayed, and no explanation was given."
FB117,Ord117,U986,4,Ordering process was smooth and hassle-free.
FB118,Ord118,U730,1,There were no updates provided about the delivery status.
FB119,Ord119,U486,5,The website is very user-friendly and easy to navigate.
FB120,Ord120,U784,1,"Delivery was late, and the medicines were not properly packaged."
FB121,Ord121,U726,5,The website is very user-friendly and easy to navigate.
FB122,Ord122,U324,1,"Very poor service, I am not satisfied at all."
FB123,Ord123,U833,1,"The delivery was delayed, and no explanation was given."
FB124,Ord124,U785,2,"Medicines were out of stock, causing a delay in delivery."
FB125,Ord125,U604,2,The ordering process was tedious and time-consuming.
FB126,Ord126,U336,5,The website is very user-friendly and easy to navigate.
FB127,Ord127,U678,2,Communication about the delivery status was lacking.
FB128,Ord128,U336,2,Customer service was slow to respond to my queries.
FB129,Ord129,U962,3,The website is functional but could use some updates for better usability.
FB130,Ord130,U931,3,"Delivery was late, but customer service resolved the issue."
FB131,Ord131,U812,3,"Ordering process was straightforward, but some items were out of stock."
FB132,Ord132,U450,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB133,Ord133,U980,4,"Medicines were delivered as ordered, and the packaging was secure."
FB134,Ord134,U531,4,The delivery person was courteous and professional.
FB135,Ord135,U543,3,The website is functional but could use some updates for better usability.
FB136,Ord136,U530,4,"Medicines were delivered as ordered, and the packaging was secure."
FB137,Ord137,U857,1,"The website was not user-friendly, and the ordering process was complicated."
FB138,Ord138,U375,4,"Delivery was on time, and the medicines were well-packaged."
FB139,Ord139,U223,5,I received timely updates about my delivery status.
FB140,Ord140,U268,4,"Delivery was delayed slightly, but communication was clear."
FB141,Ord141,U885,5,"Overall, an outstanding experience! Highly recommended."
FB142,Ord142,U355,4,"Medicines were delivered as ordered, and the packaging was secure."
FB143,Ord143,U853,5,"Delivery was exactly as scheduled, with great communication."
FB144,Ord144,U543,2,"Delivery was late, but at least the medicines were intact."
FB145,Ord145,U497,2,Communication about the delivery status was lacking.
FB146,Ord146,U541,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB147,Ord147,U421,5,The delivery person was very polite and professional.
FB148,Ord148,U257,1,I had to call customer service multiple times to resolve issues.
FB149,Ord149,U747,5,"Overall, an outstanding experience! Highly recommended."
FB150,Ord150,U803,3,The website is functional but could use some updates for better usability.
FB151,Ord151,U693,4,Customer service was prompt and helpful.
FB152,Ord152,U769,4,"Delivery was delayed slightly, but communication was clear."
FB153,Ord153,U203,2,The website needs improvement; it was challenging to navigate.
FB154,Ord154,U910,1,"Very poor service, I am not satisfied at all."
FB155,Ord155,U722,3,"Overall experience was average, with room for improvement."
FB156,Ord156,U970,3,Communication about delivery status was adequate but could be improved.
FB157,Ord157,U547,2,The website needs improvement; it was challenging to navigate.
FB158,Ord158,U889,2,The delivery person arrived much later than the estimated time.
FB159,Ord159,U731,4,The delivery person was courteous and professional.
FB160,Ord160,U659,2,"My delivery was incomplete, missing some items."
FB161,Ord161,U559,5,I received timely updates about my delivery status.
FB162,Ord162,U979,2,The ordering process was tedious and time-consuming.
FB163,Ord163,U420,1,The delivery person was rude and unprofessional.
FB164,Ord164,U358,5,Ordering process was seamless and quick.
FB165,Ord165,U335,5,Medicines arrived in perfect condition and on time.
FB166,Ord166,U421,5,The delivery person was very polite and professional.
FB167,Ord167,U219,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB168,Ord168,U457,3,"Customer service was helpful, but the response time was slow."
FB169,Ord169,U234,3,Communication about delivery status was adequate but could be improved.
FB170,Ord170,U993,3,"Overall experience was average, with room for improvement."
FB171,Ord171,U535,2,The delivery person arrived much later than the estimated time.
FB172,Ord172,U847,4,"Delivery was delayed slightly, but communication was clear."
FB173,Ord173,U444,1,"Delivery was late, and the medicines were not properly packaged."
FB174,Ord174,U816,2,"Delivery was late, but at least the medicines were intact."
FB175,Ord175,U240,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB176,Ord176,U677,2,The delivery person arrived much later than the estimated time.
FB177,Ord177,U857,5,I received timely updates about my delivery status.
FB178,Ord178,U705,5,The delivery person was very polite and professional.
FB179,Ord179,U435,1,I had to call customer service multiple times to resolve issues.
FB180,Ord180,U222,5,I received timely updates about my delivery status.
FB181,Ord181,U871,5,"Delivery was exactly as scheduled, with great communication."
FB182,Ord182,U271,3,"The delivery was on time, but packaging could be better."
FB183,Ord183,U773,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB184,Ord184,U805,4,The delivery person was courteous and professional.
FB185,Ord185,U420,2,The website needs improvement; it was challenging to navigate.
FB186,Ord186,U949,4,"Medicines were delivered as ordered, and the packaging was secure."
FB187,Ord187,U788,1,Medicines were damaged during delivery.
FB188,Ord188,U638,1,"Very poor service, I am not satisfied at all."
FB189,Ord189,U752,2,The delivery person arrived much later than the estimated time.
FB190,Ord190,U378,4,The website is easy to use and navigate.
FB191,Ord191,U673,5,Ordering process was seamless and quick.
FB192,Ord192,U762,2,"Medicines were out of stock, causing a delay in delivery."
FB193,Ord193,U821,2,"Medicines were out of stock, causing a delay in delivery."
FB194,Ord194,U787,5,"Delivery was exactly as scheduled, with great communication."
FB195,Ord195,U589,4,The delivery person was courteous and professional.
FB196,Ord196,U756,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB197,Ord197,U616,4,"Overall experience was good, with minor room for improvement."
FB198,Ord198,U533,1,The wrong medicines were delivered to me.
FB199,Ord199,U481,5,"Overall, an outstanding experience! Highly recommended."
FB200,Ord200,U533,1,"Delivery was late, and the medicines were not properly packaged."
FB201,Ord201,U834,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB202,Ord202,U223,2,The delivery person arrived much later than the estimated time.
FB203,Ord203,U638,4,The delivery person was courteous and professional.
FB204,Ord204,U997,4,"Delivery was delayed slightly, but communication was clear."
FB205,Ord205,U586,3,The delivery person was polite and professional.
FB206,Ord206,U635,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB207,Ord207,U835,5,"Excellent customer service, very prompt and helpful."
FB208,Ord208,U642,3,The website is functional but could use some updates for better usability.
FB209,Ord209,U317,5,The website is very user-friendly and easy to navigate.
FB210,Ord210,U748,1,"The website was not user-friendly, and the ordering process was complicated."
FB211,Ord211,U880,5,"Excellent customer service, very prompt and helpful."
FB212,Ord212,U625,3,"Customer service was helpful, but the response time was slow."
FB213,Ord213,U597,4,Customer service was prompt and helpful.
FB214,Ord214,U464,5,Medicines arrived in perfect condition and on time.
FB215,Ord215,U590,5,Medicines were delivered accurately and securely.
FB216,Ord216,U426,5,Ordering process was seamless and quick.
FB217,Ord217,U793,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB218,Ord218,U893,2,The delivery person arrived much later than the estimated time.
FB219,Ord219,U375,1,"Very poor service, I am not satisfied at all."
FB220,Ord220,U467,2,The ordering process was tedious and time-consuming.
FB221,Ord221,U434,1,"The website was not user-friendly, and the ordering process was complicated."
FB222,Ord222,U251,3,"Customer service was helpful, but the response time was slow."
FB223,Ord223,U615,3,The website is functional but could use some updates for better usability.
FB224,Ord224,U549,1,I had to call customer service multiple times to resolve issues.
FB225,Ord225,U297,1,Medicines were damaged during delivery.
FB226,Ord226,U759,2,"Medicines were out of stock, causing a delay in delivery."
FB227,Ord227,U844,5,I received timely updates about my delivery status.
FB228,Ord228,U338,3,"Customer service was helpful, but the response time was slow."
FB229,Ord229,U892,4,Updates about delivery status were timely and accurate.
FB230,Ord230,U260,4,Medicines arrived in excellent condition.
FB231,Ord231,U711,5,I received timely updates about my delivery status.
FB232,Ord232,U739,3,"Overall experience was average, with room for improvement."
FB233,Ord233,U448,1,Medicines were damaged during delivery.
FB234,Ord234,U419,4,"Overall experience was good, with minor room for improvement."
FB235,Ord235,U202,4,"Delivery was delayed slightly, but communication was clear."
FB236,Ord236,U753,4,Medicines arrived in excellent condition.
FB237,Ord237,U664,3,"Ordering process was straightforward, but some items were out of stock."
FB238,Ord238,U969,2,The website needs improvement; it was challenging to navigate.
FB239,Ord239,U447,1,There were no updates provided about the delivery status.
FB240,Ord240,U687,5,"Delivery was exactly as scheduled, with great communication."
FB241,Ord241,U896,4,The delivery person was courteous and professional.
FB242,Ord242,U650,1,"Delivery was late, and the medicines were not properly packaged."
FB243,Ord243,U397,2,The website needs improvement; it was challenging to navigate.
FB244,Ord244,U303,4,Updates about delivery status were timely and accurate.
FB245,Ord245,U270,2,The website needs improvement; it was challenging to navigate.
FB246,Ord246,U714,4,"Delivery was on time, and the medicines were well-packaged."
FB247,Ord247,U821,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB248,Ord248,U947,3,"Ordering process was straightforward, but some items were out of stock."
FB249,Ord249,U646,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB250,Ord250,U235,2,"My delivery was incomplete, missing some items."
FB251,Ord251,U270,2,The delivery person arrived much later than the estimated time.
FB252,Ord252,U458,5,Medicines arrived in perfect condition and on time.
FB253,Ord253,U913,1,I had to call customer service multiple times to resolve issues.
FB254,Ord254,U778,3,"The delivery was on time, but packaging could be better."
FB255,Ord255,U894,4,Medicines arrived in excellent condition.
FB256,Ord256,U560,4,"Medicines were delivered as ordered, and the packaging was secure."
FB257,Ord257,U264,2,"Delivery was late, but at least the medicines were intact."
FB258,Ord258,U351,1,I had to call customer service multiple times to resolve issues.
FB259,Ord259,U362,2,"Delivery was late, but at least the medicines were intact."
FB260,Ord260,U329,3,"Overall experience was average, with room for improvement."
FB261,Ord261,U799,1,"The website was not user-friendly, and the ordering process was complicated."
FB262,Ord262,U760,4,The website is easy to use and navigate.
FB263,Ord263,U728,4,The website is easy to use and navigate.
FB264,Ord264,U438,1,The delivery person was rude and unprofessional.
FB265,Ord265,U646,5,The website is very user-friendly and easy to navigate.
FB266,Ord266,U371,2,"Medicines were out of stock, causing a delay in delivery."
FB267,Ord267,U877,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB268,Ord268,U683,4,"Delivery was on time, and the medicines were well-packaged."
FB269,Ord269,U704,1,"Delivery was late, and the medicines were not properly packaged."
FB270,Ord270,U571,5,Medicines arrived in perfect condition and on time.
FB271,Ord271,U732,2,"Medicines were out of stock, causing a delay in delivery."
FB272,Ord272,U747,1,"The website was not user-friendly, and the ordering process was complicated."
FB273,Ord273,U548,4,Customer service was prompt and helpful.
FB274,Ord274,U418,4,"Delivery was on time, and the medicines were well-packaged."
FB275,Ord275,U513,1,"Very poor service, I am not satisfied at all."
FB276,Ord276,U812,4,The delivery person was courteous and professional.
FB277,Ord277,U786,4,"Delivery was on time, and the medicines were well-packaged."
FB278,Ord278,U518,4,"Overall experience was good, with minor room for improvement."
FB279,Ord279,U483,4,"Delivery was on time, and the medicines were well-packaged."
FB280,Ord280,U322,1,"The website was not user-friendly, and the ordering process was complicated."
FB281,Ord281,U812,5,Medicines were delivered accurately and securely.
FB282,Ord282,U877,4,"Medicines were delivered as ordered, and the packaging was secure."
FB283,Ord283,U722,4,"Delivery was delayed slightly, but communication was clear."
FB284,Ord284,U529,5,"Overall, an outstanding experience! Highly recommended."
FB285,Ord285,U833,3,"The delivery was on time, but packaging could be better."
FB286,Ord286,U947,5,The delivery person was very polite and professional.
FB287,Ord287,U370,5,Medicines were delivered accurately and securely.
FB288,Ord288,U897,1,"The website was not user-friendly, and the ordering process was complicated."
FB289,Ord289,U1000,4,Customer service was prompt and helpful.
FB290,Ord290,U659,4,"Medicines were delivered as ordered, and the packaging was secure."
FB291,Ord291,U549,2,Customer service was slow to respond to my queries.
FB292,Ord292,U559,5,Ordering process was seamless and quick.
FB293,Ord293,U504,1,"Very poor service, I am not satisfied at all."
FB294,Ord294,U394,1,I had to call customer service multiple times to resolve issues.
FB295,Ord295,U618,4,"Overall experience was good, with minor room for improvement."
FB296,Ord296,U457,1,"The delivery was delayed, and no explanation was given."
FB297,Ord297,U893,1,"Very poor service, I am not satisfied at all."
FB298,Ord298,U214,5,Medicines were delivered accurately and securely.
FB299,Ord299,U491,3,Communication about delivery status was adequate but could be improved.
FB300,Ord300,U514,5,"Overall, an outstanding experience! Highly recommended."
FB301,Ord301,U542,2,Customer service was slow to respond to my queries.
FB302,Ord302,U257,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB303,Ord303,U601,4,Ordering process was smooth and hassle-free.
FB304,Ord304,U384,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB305,Ord305,U623,2,"Delivery was late, but at least the medicines were intact."
FB306,Ord306,U232,2,Customer service was slow to respond to my queries.
FB307,Ord307,U656,1,The delivery person was rude and unprofessional.
FB308,Ord308,U325,4,Ordering process was smooth and hassle-free.
FB309,Ord309,U702,1,The wrong medicines were delivered to me.
FB310,Ord310,U621,1,"Delivery was late, and the medicines were not properly packaged."
FB311,Ord311,U222,2,The ordering process was tedious and time-consuming.
FB312,Ord312,U838,4,Updates about delivery status were timely and accurate.
FB313,Ord313,U944,1,"Very poor service, I am not satisfied at all."
FB314,Ord314,U492,4,"Delivery was on time, and the medicines were well-packaged."
FB315,Ord315,U453,5,Ordering process was seamless and quick.
FB316,Ord316,U992,3,"The delivery was on time, but packaging could be better."
FB317,Ord317,U927,1,The delivery person was rude and unprofessional.
FB318,Ord318,U858,2,The website needs improvement; it was challenging to navigate.
FB319,Ord319,U897,3,Communication about delivery status was adequate but could be improved.
FB320,Ord320,U591,2,The website needs improvement; it was challenging to navigate.
FB321,Ord321,U715,4,The delivery person was courteous and professional.
FB322,Ord322,U274,2,"Delivery was late, but at least the medicines were intact."
FB323,Ord323,U540,5,Ordering process was seamless and quick.
FB324,Ord324,U985,2,The delivery person arrived much later than the estimated time.
FB325,Ord325,U586,5,I received timely updates about my delivery status.
FB326,Ord326,U395,2,Overall experience was below average.
FB327,Ord327,U589,1,"Very poor service, I am not satisfied at all."
FB328,Ord328,U773,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB329,Ord329,U853,5,I received timely updates about my delivery status.
FB330,Ord330,U978,4,The website is easy to use and navigate.
FB331,Ord331,U323,3,"Customer service was helpful, but the response time was slow."
FB332,Ord332,U397,5,Medicines arrived in perfect condition and on time.
FB333,Ord333,U766,1,Medicines were damaged during delivery.
FB334,Ord334,U405,4,"Medicines were delivered as ordered, and the packaging was secure."
FB335,Ord335,U543,2,"My delivery was incomplete, missing some items."
FB336,Ord336,U882,3,The delivery person was polite and professional.
FB337,Ord337,U496,4,"Delivery was on time, and the medicines were well-packaged."
FB338,Ord338,U870,2,Overall experience was below average.
FB339,Ord339,U297,1,The delivery person was rude and unprofessional.
FB340,Ord340,U208,5,The website is very user-friendly and easy to navigate.
FB341,Ord341,U581,3,"Overall experience was average, with room for improvement."
FB342,Ord342,U677,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB343,Ord343,U327,2,Overall experience was below average.
FB344,Ord344,U468,2,"Delivery was late, but at least the medicines were intact."
FB345,Ord345,U436,3,The website is functional but could use some updates for better usability.
FB346,Ord346,U278,2,"Delivery was late, but at least the medicines were intact."
FB347,Ord347,U785,2,"Delivery was late, but at least the medicines were intact."
FB348,Ord348,U469,5,Medicines were delivered accurately and securely.
FB349,Ord349,U831,2,Overall experience was below average.
FB350,Ord350,U284,3,Communication about delivery status was adequate but could be improved.
FB351,Ord351,U341,2,The website needs improvement; it was challenging to navigate.
FB352,Ord352,U212,1,"The website was not user-friendly, and the ordering process was complicated."
FB353,Ord353,U384,3,"Overall experience was average, with room for improvement."
FB354,Ord354,U513,2,"My delivery was incomplete, missing some items."
FB355,Ord355,U960,3,"Ordering process was straightforward, but some items were out of stock."
FB356,Ord356,U689,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB357,Ord357,U486,1,"The website was not user-friendly, and the ordering process was complicated."
FB358,Ord358,U675,1,"The delivery was delayed, and no explanation was given."
FB359,Ord359,U218,5,Ordering process was seamless and quick.
FB360,Ord360,U732,3,The website is functional but could use some updates for better usability.
FB361,Ord361,U690,1,I had to call customer service multiple times to resolve issues.
FB362,Ord362,U688,5,Medicines were delivered accurately and securely.
FB363,Ord363,U534,5,"Delivery was exactly as scheduled, with great communication."
FB364,Ord364,U896,3,"Customer service was helpful, but the response time was slow."
FB365,Ord365,U548,2,Communication about the delivery status was lacking.
FB366,Ord366,U567,2,"Medicines were out of stock, causing a delay in delivery."
FB367,Ord367,U546,2,"Delivery was late, but at least the medicines were intact."
FB368,Ord368,U665,4,"Delivery was on time, and the medicines were well-packaged."
FB369,Ord369,U225,3,The website is functional but could use some updates for better usability.
FB370,Ord370,U336,3,The website is functional but could use some updates for better usability.
FB371,Ord371,U614,5,The website is very user-friendly and easy to navigate.
FB372,Ord372,U390,3,"Customer service was helpful, but the response time was slow."
FB373,Ord373,U680,4,Medicines arrived in excellent condition.
FB374,Ord374,U821,5,Medicines were delivered accurately and securely.
FB375,Ord375,U759,4,"Delivery was delayed slightly, but communication was clear."
FB376,Ord376,U637,5,I received timely updates about my delivery status.
FB377,Ord377,U381,2,The delivery packaging was subpar.
FB378,Ord378,U896,5,"Delivery was exactly as scheduled, with great communication."
FB379,Ord379,U403,4,Ordering process was smooth and hassle-free.
FB380,Ord380,U727,2,"Medicines were out of stock, causing a delay in delivery."
FB381,Ord381,U635,2,Customer service was slow to respond to my queries.
FB382,Ord382,U578,2,Customer service was slow to respond to my queries.
FB383,Ord383,U500,2,The delivery person arrived much later than the estimated time.
FB384,Ord384,U807,4,"Overall experience was good, with minor room for improvement."
FB385,Ord385,U760,3,The website is functional but could use some updates for better usability.
FB386,Ord386,U253,1,I had to call customer service multiple times to resolve issues.
FB387,Ord387,U752,4,"Medicines were delivered as ordered, and the packaging was secure."
FB388,Ord388,U620,3,"Ordering process was straightforward, but some items were out of stock."
FB389,Ord389,U379,5,"Overall, an outstanding experience! Highly recommended."
FB390,Ord390,U743,1,The delivery person was rude and unprofessional.
FB391,Ord391,U307,3,"Ordering process was straightforward, but some items were out of stock."
FB392,Ord392,U823,5,"Delivery was exactly as scheduled, with great communication."
FB393,Ord393,U900,5,"Delivery was exactly as scheduled, with great communication."
FB394,Ord394,U798,4,"Delivery was delayed slightly, but communication was clear."
FB395,Ord395,U382,5,The delivery person was very polite and professional.
FB396,Ord396,U692,1,"The website was not user-friendly, and the ordering process was complicated."
FB397,Ord397,U640,2,The ordering process was tedious and time-consuming.
FB398,Ord398,U787,4,"Overall experience was good, with minor room for improvement."
FB399,Ord399,U435,1,"The delivery was delayed, and no explanation was given."
FB400,Ord400,U823,5,Medicines arrived in perfect condition and on time.
FB401,Ord401,U373,1,"The website was not user-friendly, and the ordering process was complicated."
FB402,Ord402,U703,4,Ordering process was smooth and hassle-free.
FB403,Ord403,U346,1,Medicines were damaged during delivery.
FB404,Ord404,U629,5,I received timely updates about my delivery status.
FB405,Ord405,U891,5,The delivery person was very polite and professional.
FB406,Ord406,U711,4,The website is easy to use and navigate.
FB407,Ord407,U614,2,The delivery person arrived much later than the estimated time.
FB408,Ord408,U301,4,The delivery person was courteous and professional.
FB409,Ord409,U242,2,The delivery person arrived much later than the estimated time.
FB410,Ord410,U270,1,The wrong medicines were delivered to me.
FB411,Ord411,U789,4,Medicines arrived in excellent condition.
FB412,Ord412,U660,2,Communication about the delivery status was lacking.
FB413,Ord413,U741,1,"The delivery was delayed, and no explanation was given."
FB414,Ord414,U578,4,Medicines arrived in excellent condition.
FB415,Ord415,U289,4,"Delivery was on time, and the medicines were well-packaged."
FB416,Ord416,U760,5,"Excellent customer service, very prompt and helpful."
FB417,Ord417,U286,3,"Overall experience was average, with room for improvement."
FB418,Ord418,U243,1,Medicines were damaged during delivery.
FB419,Ord419,U785,3,"Ordering process was straightforward, but some items were out of stock."
FB420,Ord420,U649,3,"The delivery was on time, but packaging could be better."
FB421,Ord421,U737,4,"Delivery was on time, and the medicines were well-packaged."
FB422,Ord422,U750,4,Medicines arrived in excellent condition.
FB423,Ord423,U745,4,Updates about delivery status were timely and accurate.
FB424,Ord424,U657,2,The ordering process was tedious and time-consuming.
FB425,Ord425,U680,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB426,Ord426,U418,2,Overall experience was below average.
FB427,Ord427,U567,5,I received timely updates about my delivery status.
FB428,Ord428,U567,5,"Excellent customer service, very prompt and helpful."
FB429,Ord429,U202,5,The delivery person was very polite and professional.
FB430,Ord430,U296,3,Communication about delivery status was adequate but could be improved.
FB431,Ord431,U532,3,"Medicines arrived in good condition, but the packaging was not very secure."
FB432,Ord432,U416,5,The website is very user-friendly and easy to navigate.
FB433,Ord433,U456,1,I had to call customer service multiple times to resolve issues.
FB434,Ord434,U615,1,The delivery person was rude and unprofessional.
